ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
ID11	Base	01B96E4A	Blitzle	Lightning Rod (1)	Naughty	♂	31	31	18	31	25	31	Rock	4	1	
ID12	Base	000DC4EB	Blitzle	Motor Drive (2)	Lonely	♂	31	6	31	31	3	29	Bug	3	1	
ID13	Base	00216655	Blitzle	Lightning Rod (1)	Lonely	♂	31	19	21	13	31	31	Dark	3	1	
ID14	Base	0039F811	Blitzle	Motor Drive (2)	Bold	♂	17	31	29	31	19	31	Electric	3	1	
ID15	Base	00F2CF93	Blitzle	Lightning Rod (1)	Naive	♀	31	31	31	10	17	0	Ice	3	1	
ID16	Base	01B6ECE1	Blitzle	Motor Drive (2)	Jolly	♀	31	0	7	5	31	31	Ground	3	1	
ID17	Base	024A95D6	Blitzle	Motor Drive (2)	Lax	♀	31	14	29	31	10	31	Fairy	3	1	
ID18	Base	024C845E	Blitzle	Lightning Rod (1)	Naughty	♂	31	9	31	11	9	31	Fire	3	1	
ID19	Base	039405E1	Blitzle	Motor Drive (2)	Quirky	♀	31	31	19	8	7	31	Fire	3	1	
ID110	Base	03B53624	Blitzle	Lightning Rod (1)	Careful	♀	19	31	31	1	0	31	Poison	3	1	
ID111	Base	03ED9FB2	Blitzle	Lightning Rod (1)	Gentle	♀	9	31	31	7	31	11	Psychic	3	1	
ID112	Base	042159AA	Blitzle	Motor Drive (2)	Rash	♂	31	31	23	24	31	30	Rock	3	1	
ID113	Base	044CB315	Blitzle	Lightning Rod (1)	Timid	♀	15	31	6	7	31	31	Dark	3	1	
ID114	Base	054211A6	Blitzle	Lightning Rod (1)	Bashful	♀	31	19	31	23	31	10	Fighting	3	1	
ID115	Base	05D879E3	Blitzle	Motor Drive (2)	Jolly	♀	5	31	31	11	31	25	Flying	3	1	
ID116	Base	06476B6A	Blitzle	Lightning Rod (1)	Rash	♀	16	31	31	24	31	4	Rock	3	1	
ID117	Base	000869BB	Blitzle	Lightning Rod (1)	Quiet	♀	31	1	14	30	9	31	Ground	2	1	
ID118	Base	001D9398	Blitzle	Lightning Rod (1)	Rash	♀	31	1	18	24	31	5	Ghost	2	1	
ID119	Base	001F6E5C	Blitzle	Lightning Rod (1)	Hasty	♂	24	31	24	31	28	29	Grass	2	1	
ID120	Base	0026DE4D	Blitzle	Lightning Rod (1)	Calm	♀	22	8	31	8	27	31	Steel	2	1	
ID121	Base	002A5A3D	Blitzle	Motor Drive (2)	Gentle	♀	31	16	21	31	4	1	Water	2	1	
ID122	Base	0036A20A	Blitzle	Lightning Rod (1)	Impish	♂	7	31	24	27	14	31	Rock	2	1	
ID123	Base	0039440C	Blitzle	Lightning Rod (1)	Calm	♀	19	31	11	31	19	24	Ghost	2	1	
ID124	Base	003F519F	Blitzle	Lightning Rod (1)	Quirky	♂	25	15	31	18	31	28	Steel	2	1	
ID125	Base	0049E65E	Blitzle	Lightning Rod (1)	Gentle	♀	29	10	18	0	31	31	Fire	2	1	
ID126	Base	004F52DE	Blitzle	Motor Drive (2)	Hardy	♀	31	19	31	1	26	27	Fire	2	1	
ID127	Base	005261B6	Blitzle	Lightning Rod (1)	Adamant	♂	22	31	27	27	31	5	Fairy	2	1	
ID128	Base	0052DE8E	Blitzle	Lightning Rod (1)	Hasty	♀	31	27	20	17	31	15	Fire	2	1	
ID129	Base	0056CC3C	Blitzle	Lightning Rod (1)	Hasty	♂	16	31	10	16	31	8	Grass	2	1	
ID130	Base	005AE7E5	Blitzle	Lightning Rod (1)	Lonely	♀	20	21	16	19	31	31	Normal	2	1	
ID131	Base	005EF1AD	Blitzle	Motor Drive (2)	Naive	♂	31	6	15	31	15	27	Steel	2	1	
ID132	Base	006161E4	Blitzle	Motor Drive (2)	Mild	♂	31	29	3	2	31	29	Poison	2	1	
