ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
TM21	Base	0613D488	Applin	Gluttony (2)	Bold	♀	13	9	28	7	31	30	Poison	1	2	Jumbo
TM22	Base	1781AEBD	Chingling	Levitate (1)	Naive	♀	31	17	21	31	30	19	Electric	2	1	Jumbo
TM23	Base	092DB74B	Chingling	Levitate (1)	Docile	♂	18	31	5	26	0	8	Bug	1	1	Jumbo
TM24	Base	6457E5DB	Chingling	Levitate (1)	Calm	♂	23	11	17	31	14	21	Steel	1	1	Teeny
TM25	Base	73C74D64	Chingling	Levitate (1)	Bold	♂	31	6	18	0	1	3	Fire	1	1	Jumbo
TM26	Base	AC4D9D38	Chingling	Levitate (1)	Impish	♂	21	27	31	28	30	23	Flying	1	1	Teeny
TM27	Base	249B7A21	Cleffa	Magic Guard (2)	Gentle	♀	15	31	9	9	18	31	Flying	2	1	Jumbo
TM28	Base	66E1C796	Cleffa	Magic Guard (2)	Adamant	♂	4	31	31	11	7	27	Fairy	2	1	Teeny
TM29	Base	672E886D	Cleffa	Cute Charm (1)	Adamant	♂	21	16	26	31	31	23	Steel	2	1	Jumbo
TM210	Base	888AF09F	Cleffa	Cute Charm (1)	Lonely	♀	23	7	19	9	31	31	Ghost	2	1	Teeny
TM211	Base	5F04CA22	Cleffa	Cute Charm (1)	Hardy	♂	31	8	11	12	15	8	Steel	1	1	Jumbo
TM212	Base	6D315028	Cleffa	Cute Charm (1)	Bold	♂	31	14	4	2	18	8	Poison	1	1	Teeny
TM213	Base	6E3D8867	Cleffa	Magic Guard (2)	Docile	♀	13	6	2	31	5	22	Flying	1	1	Jumbo
TM214	Base	80CCC82C	Cleffa	Cute Charm (1)	Modest	♂	17	31	17	13	10	27	Ghost	1	1	Teeny
TM215	Base	87EA6036	Cleffa	Magic Guard (2)	Gentle	♀	31	13	23	14	23	5	Fairy	1	1	Teeny
TM216	Base	90511033	Cleffa	Cute Charm (1)	Relaxed	♀	3	27	9	9	0	31	Ice	1	1	Jumbo
TM217	Base	633D02D2	Cutiefly	Shield Dust (2)	Bashful	♂	4	27	3	31	16	31	Psychic	2	1	Teeny
TM218	Base	59C854DA	Cutiefly	Honey Gather (1)	Naive	♀	27	4	11	17	5	31	Dark	1	1	Jumbo
TM219	Base	608A14CF	Cutiefly	Honey Gather (1)	Jolly	♀	24	30	12	21	13	31	Water	1	1	Teeny
TM220	Base	745274E9	Cutiefly	Honey Gather (1)	Gentle	♀	11	4	21	31	15	22	Ground	1	1	Teeny
