ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
ID41S	Base	9B87BDC9	Araquanid	Water Absorb (H)	Bashful	♂	30	31	20	31	3	31	Ground	3	4	Jumbo
ID42S	Base	AC3A2DE5	Araquanid	Water Bubble (1)	Adamant	♀	31	31	17	31	29	23	Normal	3	4	Jumbo
ID43S	Base	F15DFDA0	Araquanid	Water Absorb (H)	Careful	♀	31	24	31	6	17	31	Dark	3	4	Jumbo
ID44S	Base	96C00642	Beldum	Clear Body (1)	Quiet	-	31	22	18	23	26	31	Dragon	2	3	Jumbo
ID45S	Base	633D02D2	Bellossom	Healer (H)	Hasty	♂	3	31	16	31	31	31	Psychic	4	4	Teeny
ID46S	Base	06907AE9	Bellossom	Healer (H)	Docile	♂	31	31	31	27	10	14	Ground	3	4	Teeny
ID47S	Base	0E98634D	Bellossom	Chlorophyll (1)	Brave	♀	0	30	31	31	21	31	Steel	3	4	Teeny
ID48S	Base	3739A70B	Bellossom	Healer (H)	Docile	♀	13	31	31	31	1	19	Bug	3	4	Teeny
ID49S	Base	5A10EACA	Bellossom	Chlorophyll (1)	Quirky	♂	27	31	21	17	31	31	Rock	3	4	Jumbo
ID410S	Base	73D0FACE	Bellossom	Chlorophyll (1)	Timid	♀	31	26	31	31	3	23	Fire	3	4	Teeny
ID411S	Base	1F3900A6	Chinchou	Water Absorb (H)	Bold	♂	14	28	20	31	31	14	Fighting	2	3	Teeny
ID412S	Base	7530A8AB	Chinchou	Water Absorb (H)	Mild	♂	23	31	17	0	31	28	Bug	2	3	Jumbo
ID413S	Base	E5111E27	Cranidos	Mold Breaker (1)	Jolly	♂	18	31	14	0	10	31	Flying	2	3	Teeny
ID414S	Base	5F04CA22	Dewgong	Hydration (2)	Adamant	♀	31	15	8	31	31	22	Steel	3	4	Jumbo
ID415S	Base	01FE8E13	Diglett-Alola	Sand Force (H)	Timid	♀	15	14	1	31	31	6	Ice	2	3	Teeny
ID416S	Base	4BEF578F	Diglett-Alola	Sand Veil (1)	Sassy	♀	19	31	31	23	29	0	Water	2	3	Teeny
ID417S	Base	6D51CA2C	Diglett-Alola	Sand Veil (1)	Naughty	♀	1	11	31	31	23	16	Ghost	2	3	Teeny
ID418S	Base	81232116	Diglett-Alola	Sand Veil (1)	Mild	♂	31	1	0	11	31	19	Fairy	2	3	Jumbo
ID419S	Base	8E131237	Diglett-Alola	Sand Force (H)	Relaxed	♂	31	7	31	22	19	20	Fighting	2	3	Jumbo
ID420S	Base	1B7D905F	Dodrio	Early Bird (2)	Naive	♀	6	1	31	11	31	31	Grass	3	4	Jumbo
ID421S	Base	F33D63E1	Dodrio	Tangled Feet (H)	Sassy	♂	18	31	4	25	31	31	Water	3	4	Teeny
ID422S	Base	1781AEBD	Drilbur	Sand Rush (1)	Naive	♀	31	31	21	31	30	19	Electric	3	3	Jumbo
ID423S	Base	D60CCEB1	Drilbur	Sand Rush (1)	Impish	♀	31	21	5	31	0	22	Electric	2	3	Jumbo
ID424S	Base	732107F6	Duraludon	Light Metal (1)	Sassy	♂	31	29	31	2	31	31	Fairy	4	5	Teeny
ID425S	Base	AC852285	Duraludon	Light Metal (1)	Naughty	♂	31	31	1	31	31	26	Normal	4	5	Teeny
ID426S	Base	F7FD0284	Duraludon	Heavy Metal (2)	Careful	♀	31	31	3	31	21	31	Fire	4	5	Teeny
ID427S	Base	480FF164	Electabuzz	Static (1)	Hasty	♀	31	16	22	31	4	31	Electric	3	4	Teeny
ID428S	Base	821ED953	Electabuzz	Static (1)	Mild	♀	21	31	30	31	31	6	Ice	3	4	Teeny
ID429S	Base	37E4C67A	Electivire	Vital Spirit (H)	Serious	♂	13	31	31	1	31	31	Poison	4	5	Teeny
ID430S	Base	618CA780	Electivire	Motor Drive (1)	Lonely	♂	6	11	31	31	31	31	Poison	4	5	Jumbo
ID431S	Base	6B0E27ED	Electivire	Motor Drive (1)	Sassy	♂	31	31	31	9	31	17	Steel	4	5	Jumbo
ID432S	Base	85155404	Electivire	Motor Drive (1)	Bashful	♂	31	1	31	31	31	15	Fighting	4	5	Jumbo
ID433S	Base	9100C672	Electivire	Motor Drive (1)	Quirky	♂	15	31	31	31	31	9	Psychic	4	5	Teeny
ID434S	Base	AF953002	Electivire	Motor Drive (1)	Gentle	♂	31	31	13	21	31	31	Water	4	5	Jumbo
ID435S	Base	E5580A07	Electivire	Motor Drive (1)	Brave	♂	9	31	31	26	31	31	Flying	4	5	Jumbo
ID436S	Base	A5377AFE	Exeggutor-Normal	Harvest (H)	Bold	♀	31	31	31	18	31	31	Normal	5	5	Teeny
