ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
P41S	Base	3E26F07C	Altaria	Cloud Nine (H)	Sassy	♀	31	23	31	29	31	31	Water	4	5	Teeny
P42S	Base	A8818B72	Amoonguss	Regenerator (H)	Rash	♂	30	31	31	0	31	31	Psychic	4	5	Teeny
P43S	Base	608A14CF	Ampharos	Plus (H)	Bashful	♀	31	21	13	12	31	31	Water	3	4	Teeny
P44S	Base	D2EF5BF4	Annihilape	Defiant (H)	Naughty	♂	12	31	31	31	14	31	Dragon	4	5	Teeny
P45S	Base	1CE7EC71	Arboliva	Harvest (H)	Relaxed	♂	31	31	10	31	5	31	Electric	4	5	Jumbo
P46S	Base	65A101F2	Arboliva	Harvest (H)	Adamant	♂	31	29	31	1	31	31	Psychic	4	5	Teeny
P47S	Base	CB4F2884	Arcanine-Normal	Flash Fire (2)	Naughty	♂	9	31	31	12	31	31	Ground	4	5	Jumbo
P48S	Base	8C535D94	Axew	Mold Breaker (2)	Modest	♀	13	4	31	31	0	5	Dragon	2	3	Jumbo
P49S	Base	5A10EACA	Azumarill	Thick Fat (1)	Quirky	♂	27	31	21	17	31	31	Rock	3	4	Jumbo
P410S	Base	1F390FC9	Barraskewda	Swift Swim (1)	Impish	♀	6	7	31	31	13	31	Ground	3	4	Jumbo
P411S	Base	82B34FDF	Barraskewda	Swift Swim (1)	Hardy	♀	31	31	28	31	26	14	Dragon	3	4	Jumbo
P412S	Base	A0869662	Beartic	Slush Rush (2)	Timid	♂	31	31	31	31	9	15	Fire	4	4	Teeny
P413S	Base	C992A759	Bisharp	Defiant (1)	Brave	♀	25	27	31	31	12	31	Ice	3	4	Jumbo
P414S	Base	A5377AFE	Brambleghast	Infiltrator (H)	Bold	♀	31	31	31	18	31	31	Normal	5	5	Teeny
P415S	Base	821ED953	Cacturne	Sand Veil (1)	Mild	♀	21	31	30	31	31	6	Ice	3	4	Teeny
P416S	Base	C1D2869D	Chansey	Healer (H)	Sassy	♀	31	24	5	31	25	30	Flying	2	3	Teeny
P417S	Base	EEABC326	Charcadet	Flash Fire (1)	Adamant	♂	31	19	31	22	2	22	Fighting	2	3	Teeny
P418S	Base	9DF8BC68	Clodsire	Unaware (H)	Hardy	♂	31	28	28	13	31	31	Poison	3	4	Teeny
P419S	Base	01FDF39E	Coalossal	Flame Body (2)	Quiet	♀	31	31	18	31	31	22	Fire	4	5	Jumbo
P420S	Base	AE57C7C0	Corvisquire	Big Pecks (H)	Quiet	♀	31	27	31	13	26	25	Electric	2	3	Teeny
P421S	Base	C2352F60	Crabominable	Iron Fist (2)	Impish	♀	31	6	31	20	31	31	Dark	4	4	Teeny
P422S	Base	D480E6E2	Crabominable	Hyper Cutter (1)	Hasty	♂	31	31	24	31	2	11	Ice	3	4	Teeny
P423S	Base	7C944B8B	Cryogonal	Levitate (1)	Hardy	-	6	31	31	16	4	31	Bug	3	4	Teeny
P424S	Base	C3DC9314	Cubchoo	Rattled (H)	Jolly	♀	21	30	31	31	13	13	Dragon	2	3	Jumbo
P425S	Base	F33D63E1	Dachsbun	Aroma Veil (H)	Sassy	♂	18	31	4	25	31	31	Water	3	4	Teeny
P426S	Base	65A2AF4D	Dedenne	Plus (H)	Naughty	♂	31	31	31	9	12	9	Steel	3	4	Jumbo
P427S	Base	6D51CA2C	Deino	Hustle (1)	Naughty	♀	1	11	31	31	23	16	Ghost	2	3	Teeny
P428S	Base	C58FD6F7	Delibird	Vital Spirit (1)	Sassy	♂	31	31	31	31	24	27	Steel	4	5	Jumbo
P429S	Base	D6CC25E6	Ditto	Imposter (H)	Calm	-	31	31	6	8	28	31	Fighting	3	4	Jumbo
P430S	Base	0E98634D	Donphan	Sturdy (1)	Brave	♀	0	30	31	31	21	31	Steel	3	4	Teeny
P431S	Base	9B87BDC9	Donphan	Sand Veil (H)	Bashful	♂	30	31	20	31	3	31	Ground	3	4	Jumbo
P432S	Base	2AC45D03	Dragonite	Inner Focus (1)	Modest	♀	31	31	31	10	31	31	Fairy	5	5	Jumbo
P433S	Base	5D820662	Drednaw	Strong Jaw (1)	Lonely	♀	31	31	11	7	31	15	Steel	3	4	Jumbo
P434S	Base	A5C34664	Drednaw	Shell Armor (2)	Relaxed	♀	15	18	31	31	31	15	Dragon	3	4	Jumbo
P435S	Base	F624D2E2	Drednaw	Shell Armor (2)	Modest	♀	16	8	31	31	0	31	Poison	3	4	Teeny
P436S	Base	06907AE9	Drifblim	Flare Boost (H)	Docile	♂	31	31	31	27	10	14	Ground	3	4	Teeny
P437S	Base	427FC7CE	Dudunsparce-Two-Segment	Run Away (2)	Naughty	♂	31	17	25	16	31	31	Fire	3	4	Teeny
P438S	Base	745274E9	Eelektrik	Levitate (1)	Gentle	♀	15	22	0	31	31	31	Ground	3	4	Teeny
P439S	Base	7B48A909	Eevee	Adaptability (2)	Modest	♂	31	15	14	28	31	0	Ground	2	3	Jumbo
P440S	Base	1BF34561	Espathra	Frisk (2)	Modest	♀	31	3	1	4	31	31	Fighting	3	4	Teeny
P441S	Base	0477DA66	Farigiraf	Cud Chew (1)	Impish	♀	31	31	19	31	24	29	Fighting	3	4	Jumbo
P442S	Base	E5111E27	Flaaffy	Static (1)	Jolly	♂	18	31	14	0	10	31	Flying	2	3	Teeny
P443S	Base	633D02D2	Flamigo	Costar (H)	Hasty	♂	3	31	16	31	31	31	Psychic	4	4	Teeny
P444S	Base	249B7A21	Fletchinder	Flame Body (1)	Bold	♂	9	31	18	29	7	31	Flying	2	3	Jumbo
P445S	Base	87EA6036	Fletchinder	Flame Body (1)	Gentle	♀	31	23	14	23	5	31	Fairy	2	3	Teeny
P446S	Base	40A17CE7	Forretress	Sturdy (1)	Bashful	♂	31	22	11	31	9	31	Flying	3	4	Jumbo
P447S	Base	1B7D905F	Gabite	Sand Veil (1)	Naive	♀	6	1	31	11	31	31	Grass	3	4	Jumbo
P448S	Base	5F04CA22	Gabite	Sand Veil (1)	Adamant	♀	31	15	8	31	31	22	Steel	3	4	Jumbo
