ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
P71	Distribution	0F4B396E	Gimmighoul-Chest	Rattled (1)	Quirky	-	31	31	31	31	31	31	Fire	6	5	
P72	Distribution	FD1C4D7C	Gimmighoul-Chest	Rattled (1)	Bold	-	31	31	31	31	31	31	Flying	6	5	
P73	Distribution	FC6C60F0	Gimmighoul-Chest	Rattled (1)	Sassy	-	31	31	31	31	31	31	Grass	6	5	
P74	Distribution	FB9FE4B0	Gimmighoul-Chest	Rattled (1)	Naive	-	31	31	31	31	31	31	Grass	6	5	
P75	Distribution	FB65A790	Gimmighoul-Chest	Rattled (1)	Hasty	-	31	31	31	31	31	31	Grass	6	5	
P76	Distribution	FB4EDBF7	Gimmighoul-Chest	Rattled (1)	Mild	-	31	31	31	31	31	31	Ghost	6	5	
P77	Distribution	FA79CD08	Gimmighoul-Chest	Rattled (1)	Timid	-	31	31	31	31	31	31	Poison	6	5	
P78	Distribution	F9FC7B68	Gimmighoul-Chest	Rattled (1)	Lonely	-	31	31	31	31	31	31	Poison	6	5	
P79	Distribution	F9A77DB0	Gimmighoul-Chest	Rattled (1)	Impish	-	31	31	31	31	31	31	Grass	6	5	
P710	Distribution	F94E2083	Gimmighoul-Chest	Rattled (1)	Quiet	-	31	31	31	31	31	31	Dragon	6	5	
P711	Distribution	F8A63844	Gimmighoul-Chest	Rattled (1)	Modest	-	31	31	31	31	31	31	Dark	6	5	
P712	Distribution	F826AE80	Gimmighoul-Chest	Rattled (1)	Timid	-	31	31	31	31	31	31	Bug	6	5	
P713	Distribution	F7954CEF	Gimmighoul-Chest	Rattled (1)	Jolly	-	31	31	31	31	31	31	Water	6	5	
P714	Distribution	F781991D	Gimmighoul-Chest	Rattled (1)	Modest	-	31	31	31	31	31	31	Normal	6	5	
P715	Distribution	F6DC2B27	Gimmighoul-Chest	Rattled (1)	Adamant	-	31	31	31	31	31	31	Flying	6	5	
P716	Distribution	F6636ED7	Gimmighoul-Chest	Rattled (1)	Mild	-	31	31	31	31	31	31	Bug	6	5	
P717	Distribution	F4C82691	Gimmighoul-Chest	Rattled (1)	Bold	-	31	31	31	31	31	31	Electric	6	5	
P718	Distribution	F36ABA07	Gimmighoul-Chest	Rattled (1)	Rash	-	31	31	31	31	31	31	Flying	6	5	
P719	Distribution	F31D7E3E	Gimmighoul-Chest	Rattled (1)	Sassy	-	31	31	31	31	31	31	Dragon	6	5	
P720	Distribution	F26A8C3E	Gimmighoul-Chest	Rattled (1)	Lonely	-	31	31	31	31	31	31	Fire	6	5	
P721	Distribution	F1C94003	Gimmighoul-Chest	Rattled (1)	Brave	-	31	31	31	31	31	31	Ice	6	5	
P722	Distribution	EF531902	Gimmighoul-Chest	Rattled (1)	Serious	-	31	31	31	31	31	31	Electric	6	5	
