ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
TM61	Black	588D5804	Ambipom	Skill Link (H)	Lonely	♂	31	31	26	31	31	31	Ice	5	6	Jumbo
TM62	Black	8E2E584C	Ambipom	Skill Link (H)	Mild	♀	31	31	31	31	31	11	Ghost	5	6	Teeny
TM63	Black	D61EA83B	Ambipom	Skill Link (H)	Sassy	♀	31	4	31	31	31	31	Dark	5	6	Teeny
TM64	Black	F74E183A	Ambipom	Skill Link (H)	Rash	♂	31	31	31	31	31	11	Water	5	6	Teeny
TM65	Black	1781AEBD	Basculegion-F	Mold Breaker (H)	Naive	♀	31	31	31	31	31	31	Electric	6	6	Jumbo
TM66	Black	5119EEA3	Basculegion-F	Mold Breaker (H)	Jolly	♀	31	3	31	31	31	31	Bug	5	6	Jumbo
TM67	Black	5427EEAB	Basculegion-F	Mold Breaker (H)	Brave	♀	3	31	31	31	31	31	Bug	5	6	Teeny
TM68	Black	7C68EED2	Basculegion-F	Mold Breaker (H)	Calm	♀	31	17	31	31	31	31	Psychic	5	6	Teeny
TM69	Black	90511033	Basculegion-F	Mold Breaker (H)	Relaxed	♀	31	31	27	31	31	31	Ice	5	6	Jumbo
TM610	Black	91B3AE94	Basculegion-F	Mold Breaker (H)	Lonely	♀	31	23	31	31	31	31	Dragon	5	6	Teeny
TM611	Black	C980D030	Basculegion-F	Mold Breaker (H)	Sassy	♀	31	31	31	28	31	31	Grass	5	6	Teeny
TM612	Black	CF14D035	Basculegion-F	Mold Breaker (H)	Lax	♀	31	31	31	31	31	9	Dark	5	6	Teeny
TM613	Black	E2217ECF	Basculegion-F	Mold Breaker (H)	Quirky	♀	31	31	2	31	31	31	Water	5	6	Jumbo
TM614	Black	1BD04C26	Chandelure	Infiltrator (H)	Bold	♂	31	31	31	9	31	31	Fighting	5	6	Teeny
TM615	Black	32527C32	Chandelure	Infiltrator (H)	Serious	♀	31	31	31	13	31	31	Psychic	5	6	Jumbo
TM616	Black	65A101F2	Chandelure	Infiltrator (H)	Adamant	♂	31	31	31	22	31	31	Psychic	5	6	Teeny
TM617	Black	79895C2F	Chandelure	Infiltrator (H)	Quiet	♀	31	31	31	31	26	31	Water	5	6	Teeny
TM618	Black	D2EF5BF4	Chandelure	Infiltrator (H)	Quirky	♂	14	31	31	31	31	31	Dragon	5	6	Teeny
TM619	Black	DB1D5C25	Chandelure	Infiltrator (H)	Quiet	♀	31	17	31	31	31	31	Normal	5	6	Jumbo
TM620	Black	B87681F2	Clefable	Unaware (H)	Naive	♀	31	31	31	31	29	31	Psychic	5	6	Jumbo
TM621	Black	059A8B63	Conkeldurr	Iron Fist (H)	Gentle	♂	31	31	31	31	0	31	Ice	5	6	Jumbo
TM622	Black	5DF55B5D	Conkeldurr	Iron Fist (H)	Modest	♂	31	31	31	31	29	31	Flying	5	6	Teeny
TM623	Black	719C0B46	Conkeldurr	Iron Fist (H)	Naive	♂	31	31	16	31	31	31	Fighting	5	6	Teeny
TM624	Black	878F7B27	Conkeldurr	Iron Fist (H)	Impish	♂	31	31	31	31	31	12	Flying	5	6	Jumbo
TM625	Black	89A491B3	Conkeldurr	Iron Fist (H)	Hasty	♂	31	31	31	31	20	31	Ice	5	6	Teeny
TM626	Black	05EC24B2	Crawdaunt	Adaptability (H)	Timid	♂	31	31	14	31	31	31	Psychic	5	6	Jumbo
TM627	Black	19602FED	Crawdaunt	Adaptability (H)	Modest	♀	31	24	31	31	31	31	Steel	5	6	Jumbo
TM628	Black	1A6D6FF9	Crawdaunt	Adaptability (H)	Hardy	♀	31	31	31	24	31	31	Fire	5	6	Jumbo
TM629	Black	B17E6A20	Crawdaunt	Adaptability (H)	Calm	♀	3	31	31	31	31	31	Psychic	5	6	Jumbo
TM630	Black	C3733A2C	Crawdaunt	Adaptability (H)	Careful	♀	31	31	31	17	31	31	Ghost	5	6	Teeny
TM631	Black	EE19FA02	Crawdaunt	Adaptability (H)	Brave	♂	31	31	31	31	8	31	Rock	5	6	Jumbo
TM632	Black	FBF9EFE4	Crawdaunt	Adaptability (H)	Quirky	♀	31	31	31	31	16	31	Ghost	5	6	Teeny
TM633	Black	AE8BEAB5	Dusknoir	Frisk (H)	Hasty	♀	31	31	11	31	31	31	Dark	5	6	Teeny
